term,window,conf.low,estimate,conf.high,p.value,outcome
BCEtP,birth,-0.07862741939650193,0.00402458415759487,0.08667658771169166,0.9361632426343931,lh_bankssts
BCEtP,prenatal,-0.09599357840271257,-0.01143156061062227,0.07313045718146803,0.8240333379207373,lh_bankssts
BCEtP,three_year,-0.036173646948532166,0.05558902268976839,0.14735169232806894,0.3190374060659301,lh_bankssts
BCEtP,birth,-0.05061856479849122,0.0028406340159413688,0.05629983283037396,0.9303521838469189,rh_bankssts
BCEtP,prenatal,-0.051895541591986415,0.0031892607339875324,0.058274063059961474,0.9241301034199098,rh_bankssts
BCEtP,three_year,-0.048249056702439556,0.014599799775381153,0.07744865625320187,0.7023873623132225,rh_bankssts
BCEtP,birth,-0.17574108112778672,-0.09563693206669646,-0.015532783005606204,0.04955296184336477,lh_caudalanteriorcingulate
BCEtP,prenatal,-0.08370745266665297,-0.00295819078066195,0.07779107110532907,0.9519501343996091,lh_caudalanteriorcingulate
BCEtP,three_year,-0.10171807530692081,-0.023682465161373893,0.05435314498417302,0.6176492172900487,lh_caudalanteriorcingulate
BCEtP,birth,-0.06548156427372555,0.017023394748653498,0.09952835377103254,0.7343192872366748,rh_caudalanteriorcingulate
BCEtP,prenatal,-0.18403216117492338,-0.10023082924416371,-0.016429497313404026,0.04914494672534708,rh_caudalanteriorcingulate
BCEtP,three_year,-0.17083048196337236,-0.08033611408736435,0.01015825378864367,0.14423125141918824,rh_caudalanteriorcingulate
BCEtP,birth,-0.021234730685434914,0.013766848083150065,0.04876842685173505,0.5176610012826592,lh_frontalpole
BCEtP,prenatal,-0.012052409274055709,0.01946715576224583,0.050986720798547366,0.3096785856874834,lh_frontalpole
BCEtP,three_year,-0.016547954034973812,0.014095169983210361,0.044738294001394535,0.4492914220065293,lh_frontalpole
BCEtP,birth,-0.018593594459478873,0.02031480817948721,0.05922321081845329,0.3904459076937882,rh_frontalpole
BCEtP,prenatal,-0.020417558705963245,0.019529139823823875,0.05947583835361099,0.4213184630188146,rh_frontalpole
BCEtP,three_year,-0.03071047948836813,0.010145261797500332,0.051001003083368794,0.6829443532514757,rh_frontalpole
BCEtP,birth,-0.07684108760670741,-0.014551683177659964,0.047737721251387484,0.7007850104706921,lh_temporalpole
BCEtP,prenatal,-0.08868125848579797,-0.02542877715744791,0.03782370417090216,0.5084427451088747,lh_temporalpole
BCEtP,three_year,-0.03145589508008705,0.03570695622794199,0.10286980753597103,0.3818557219313321,lh_temporalpole
BCEtP,birth,-0.05819239299440987,8.51324062044637e-4,0.05989504111849914,0.9810788370764464,rh_temporalpole
BCEtP,prenatal,-0.07943578452761876,-0.016999899073572553,0.045435986380473664,0.6542564345027969,rh_temporalpole
BCEtP,three_year,-0.009942535027821338,0.0603921302425,0.13072679551282135,0.15785090613152575,rh_temporalpole
BCEtP,birth,-0.12792419354505769,0.04556632432209633,0.2190568421892503,0.6657329084905865,caudalmiddlefrontal
BCEtP,prenatal,-0.26301002580840216,-0.07737210588322435,0.10826581404195343,0.492991099913889,caudalmiddlefrontal
BCEtP,three_year,-0.31825224766707005,-0.1261459672770136,0.06596031311304287,0.2801030793294921,caudalmiddlefrontal
BCEtP,birth,-0.12755619320828546,-0.02962234984290764,0.06831149352247018,0.6188196397260708,cuneus
BCEtP,prenatal,-0.18318953815221026,-0.08934084866554598,0.004507840821118297,0.11738461456171656,cuneus
BCEtP,three_year,-0.06075511520582646,0.03605085014758488,0.1328568155009962,0.5401747642688468,cuneus
BCEtP,birth,-0.0697906195139167,-0.015920688906925645,0.03794924170006542,0.6268827162847701,entorhinal
BCEtP,prenatal,-0.050433902995291977,0.003781351419752848,0.05799660583479767,0.9086642009606496,entorhinal
BCEtP,three_year,-0.06876159466012081,-0.00804208985921993,0.05267741494168095,0.8275419235334166,entorhinal
BCEtP,birth,-0.1365017330032494,0.054252754668471855,0.24500724234019308,0.6399167817192608,fusiform
BCEtP,prenatal,-0.22096289183651122,-0.03392930044100028,0.15310429095451064,0.7654064199584936,fusiform
BCEtP,three_year,-0.0829000358204848,0.09822237282491109,0.27934478147030695,0.3723922290330194,fusiform
